"","digest_id","extraction_id.x","sample_id","ligation_id","date","quant","notes","enzymes","DNA","vol_in"
"57","D3106","E2651","APCL15_375999",NA,"2016-04-25",2.167,"","PstI_MluCI",NA,69.2201199815413
"58","D2730","E2372","APCL15_137",NA,"2016-03-05",2.189,"","PstI_MluCI",NA,68.5244403837369
"59","D2924","E2566","APCL15_362409",NA,"2016-04-04",2.313,"","PstI_MluCI",NA,64.8508430609598
"60","D2932","E2574","APCL15_065",NA,"2016-04-04",2.316,"","PstI_MluCI",NA,64.7668393782383
"61","D3085","E2823","APCL15_007",NA,"2016-04-04",2.332,"","PstI_MluCI",NA,64.3224699828474
"62","D3115","E2660","APCL15_031",NA,"2016-04-25",2.342,"","PstI_MluCI",NA,64.0478223740393
"63","D3251","E0167","APCL13_042",NA,"2016-09-18",2.342,NA,"PstI_MluCI",NA,64.0478223740393
"64","D3206","E2928","APCL15_153",NA,"2016-04-25",2.365,"","PstI_MluCI",NA,63.4249471458774
"65","D3114","E2659","APCL15_071",NA,"2016-04-25",2.383,"","PstI_MluCI",NA,62.9458665547629
"66","D3202","E2924","APCL15_152",NA,"2016-04-25",2.431,"","PstI_MluCI",NA,61.7030028794735
"67","D3020","E2758","APCL15_402189",NA,"2016-04-04",2.486,"","PstI_MluCI",NA,60.3378921962993
"68","D2917","E2559","APCL15_089",NA,"2016-04-04",2.489,"","PstI_MluCI",NA,60.265166733628
"69","D3213","E2935","APCL15_159",NA,"2016-04-25",2.495,"","PstI_MluCI",NA,60.1202404809619
"70","D2978","E2620","APCL15_355054",NA,"2016-04-04",2.587,"","PstI_MluCI",NA,57.9822187862389
"71","D2969","E2611","APCL15_070",NA,"2016-04-04",2.672,"","PstI_MluCI",NA,56.1377245508982
"72","D3289","E1867","APCL12_203",NA,"2016-09-18",2.69,NA,"PstI_MluCI",NA,55.7620817843866
"73","D3029","E2767","APCL15_400461",NA,"2016-04-04",2.7,"","PstI_MluCI",NA,55.5555555555556
"74","D3103","E2647","APCL15_075",NA,"2016-04-25",2.741,"","PstI_MluCI",NA,54.7245530828165
"75","D2974","E2616","APCL15_401342",NA,"2016-04-04",2.808,"","PstI_MluCI",NA,53.4188034188034
"76","D2997","E2639","APCL15_371638",NA,"2016-04-04",2.842,"","PstI_MluCI",NA,52.7797325826882
"77","D3017","E2755","APCL15_403102",NA,"2016-04-04",2.863,"","PstI_MluCI",NA,52.3925951798812
"78","D3309","E2972","APCL16_005",NA,"2016-09-18",2.887,NA,"PstI_MluCI",NA,51.9570488396259
"79","D2925","E2671","APCL15_402770",NA,"2016-04-04",2.897,"","PstI_MluCI",NA,51.7777010700725
"80","D2961","E2603","APCL15_354587",NA,"2016-04-04",2.906,"","PstI_MluCI",NA,51.6173434273916
"81","D3031","E2769","APCL15_019",NA,"2016-04-04",2.94,"","PstI_MluCI",NA,51.0204081632653
"82","D2785","E2427","APCL15_116",NA,"2016-03-05",2.995,"","PstI_MluCI",NA,50.0834724540901
"83","D3276","E0968","APCL14_202",NA,"2016-09-18",3.08,NA,"PstI_MluCI",NA,48.7012987012987
"84","D3110","E2655","APCL15_375047",NA,"2016-04-25",3.176,"","PstI_MluCI",NA,47.2292191435768
"85","D3138","E2848","APCL15_374364",NA,"2016-04-25",3.202,"","PstI_MluCI",NA,46.8457214241099
"86","D3098","E2568","APCL15_355486",NA,"2016-04-25",3.209,"","PstI_MluCI",NA,46.7435338111561
"87","D3129","E2838","APCL15_375516",NA,"2016-04-25",3.216,"","PstI_MluCI",NA,46.6417910447761
"88","D3300","E2448","APCL15_355180",NA,"2016-09-18",3.236,NA,"PstI_MluCI",NA,46.3535228677379
"89","D3157","E2879","APCL15_374415",NA,"2016-04-25",3.292,"","PstI_MluCI",NA,45.5650060753341
"90","D2931","E2679","APCL15_375659",NA,"2016-04-04",3.36,"","PstI_MluCI",NA,44.6428571428571
"91","D2935","E2577","APCL15_400408",NA,"2016-04-04",3.368,"","PstI_MluCI",NA,44.5368171021378
"92","D3069","E2807","APCL15_400919",NA,"2016-04-04",3.474,"","PstI_MluCI",NA,43.1778929188256
"93","D3158","E2880","APCL15_374441",NA,"2016-04-25",3.475,"","PstI_MluCI",NA,43.1654676258993
"94","D2750","E2392","APCL15_146",NA,"2016-03-05",3.497,"","PstI_MluCI",NA,42.8939090649128
"95","D3266","E0923","APCL14_156",NA,"2016-09-18",3.514,NA,"PstI_MluCI",NA,42.6863972680706
"96","D3281","E0962","APCL14_195",NA,"2016-09-18",3.514,NA,"PstI_MluCI",NA,42.6863972680706
"97","D3116","E2661","APCL15_036",NA,"2016-04-25",3.525,"","PstI_MluCI",NA,42.5531914893617
"98","D3224","E2946","APCL15_155",NA,"2016-04-25",3.559,"","PstI_MluCI",NA,42.1466704130374
"99","D2815","E2457","APCL15_098",NA,"2016-03-05",3.56,"","PstI_MluCI",NA,42.1348314606742
"100","D3082","E2820","APCL15_404653",NA,"2016-04-04",3.576,"","PstI_MluCI",NA,41.9463087248322
"101","D3218","E2940","APCL15_371833",NA,"2016-04-25",3.7,"","PstI_MluCI",NA,40.5405405405405
"102","D3009","E2747","APCL15_407055",NA,"2016-04-04",3.781,"","PstI_MluCI",NA,39.6720444326898
"103","D3104","E2649","APCL15_364196",NA,"2016-04-25",3.831,"","PstI_MluCI",NA,39.1542678151919
