"","digest_id","ligation_id","date","DNA","vol_in","water","destloc","destwell","sourcewell","sourceloc","run"
"109","D3218","L3071","2016-04-25",40,10.8,11.4,"P12","E12","C4","P7",2
"110","D3224","L3068","2016-04-25",40,11.2,11,"P12","B12","A5","P7",2
"111","D3251","L3033","2016-09-18",40,17.1,5.1,"P12","G7","E1","P9",2
"112","D3252","L3000","2016-09-18",10,7.02,15.2,"P12","F3","H1","P9",2
"113","D3253","L3144","2016-09-18",200,10.7,11.5,"P13","F9","A2","P9",2
"114","D3254","L3141","2016-09-18",200,11.4,10.8,"P13","C9","B2","P9",2
"115","D3255","L3021","2016-09-18",10,4.93,17.3,"P12","C6","C2","P9",2
"116","D3256","L3026","2016-09-18",10,4.64,17.6,"P12","H6","D2","P9",2
"117","D3257","L3014","2016-09-18",10,5.51,16.7,"P12","D5","E2","P9",2
"118","D3258","L3154","2016-09-18",200,5.54,16.7,"P13","H10","F2","P9",2
"119","D3259","L3163","2016-09-18",200,3.96,18.2,"P13","A12","G2","P9",2
"120","D3260","L3165","2016-09-18",200,3.42,18.8,"P13","C12","H2","P9",2
"121","D3261","L3139","2016-09-18",200,13.5,8.7,"P13","A9","A3","P9",2
"122","D3262","L3115","2016-09-18",75,9.21,13,"P13","A6","B3","P9",2
"123","D3263","L3121","2016-09-18",75,8.39,13.8,"P13","G6","C3","P9",2
"124","D3264","L2988","2016-09-18",10,10.5,11.7,"P12","B2","D3","P9",2
"125","D3265","L3009","2016-09-18",10,6.08,16.1,"P12","G4","E3","P9",2
"126","D3266","L3065","2016-09-18",40,11.4,10.8,"P12","G11","F3","P9",2
"127","D3267","L3015","2016-09-18",10,5.3,16.9,"P12","E5","G3","P9",2
"128","D3268","L3025","2016-09-18",10,4.68,17.5,"P12","G6","H3","P9",2
"129","D3272","L3128","2016-09-18",200,19.4,2.8,"P13","F7","D4","P9",2
"130","D3273","L3145","2016-09-18",200,10.5,11.7,"P13","G9","E4","P9",2
"131","D3274","L3122","2016-09-18",75,7.98,14.2,"P13","H6","F4","P9",2
"132","D3275","L3120","2016-09-18",75,8.42,13.8,"P13","F6","G4","P9",2
"133","D3276","L3053","2016-09-18",40,13,9.2,"P12","C10","H4","P9",2
