extraction_ID,sourceloc,sourcewell,sourcevol,destloc,destwell
E1350,P13,H6,30,P12,D6
E1382,P13,H10,30,P12,F4
E1385,P13,C11,30,P12,H2
E1388,P13,F11,15,P12,D5
E1394,P13,D12,30,P12,G4
E1397,P13,G12,30,P12,G5
E1478,P2,H10,30,P12,G2
E1480,P2,B11,30,P12,C5
E1483,P2,E11,30,P12,E4
E1488,P2,B12,30,P12,A3
E1866,P3,D11,30,P12,E6
E1867,P3,E11,30,P12,F6
E2448,P4,G12,30,P12,A8
E2499,P5,B7,30,P12,A7
E2521,P5,H9,15,P12,B7
E2538,P5,A12,30,P12,C7
E2588,P6,C6,15,P12,D7
E2617,P6,H9,30,P12,E7
E2632,P6,G11,30,P12,F7
E2744,P7,G1,30,P12,B8
E2757,P7,D3,30,P12,C8
E2851,P8,F3,30,P12,G7
E2852,P8,A4,30,P12,E8
E2931,P9,A6,30,P12,H7
water,P10,A1,15,P12,D5
water,P10,A1,15,P12,B7
water,P10,A1,15,P12,D7
