"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","D2904","D2912","D2920","D2928","D2936","D2944","D2952","D2960","D2968","D2976","D2984","D2992"
"B","D2905","D2913","D2921","D2929","D2937","D2945","D2953","D2961","D2969","D2977","D2985","D2993"
"C","D2906","D2914","D2922","D2930","D2938","D2946","D2954","D2962","D2970","D2978","D2986","D2994"
"D","D2907","D2915","D2923","D2931","D2939","D2947","D2955","D2963","D2971","D2979","D2987","D2995"
"E","D2908","D2916","D2924","D2932","D2940","D2948","D2956","D2964","D2972","D2980","D2988","D2996"
"F","D2909","D2917","D2925","D2933","D2941","D2949","D2957","D2965","D2973","D2981","D2989","D2997"
"G","D2910","D2918","D2926","D2934","D2942","D2950","D2958","D2966","D2974","D2982","D2990","D2998"
"H","D2911","D2919","D2927","D2935","D2943","D2951","D2959","D2967","D2975","D2983","D2991","D2999"
