"","Row","Col","ID"
"4","A",1,"D3247"
"5","B",1,"D3248"
"6","C",1,"D3249"
"1","D",1,"D3250"
"2","E",1,"D3251"
"3","H",1,"D3252"
"10","A",2,"D3253"
"11","B",2,"D3254"
"7","C",2,"D3255"
"8","D",2,"D3256"
"9","E",2,"D3257"
"12","F",2,"D3258"
"14","G",2,"D3259"
"13","H",2,"D3260"
"22","A",3,"D3261"
"18","B",3,"D3262"
"21","C",3,"D3263"
"15","D",3,"D3264"
"16","E",3,"D3265"
"17","F",3,"D3266"
"19","G",3,"D3267"
"20","H",3,"D3268"
"24","A",4,"D3269"
"25","B",4,"D3270"
"27","C",4,"D3271"
"23","D",4,"D3272"
"30","E",4,"D3273"
"28","F",4,"D3274"
"29","G",4,"D3275"
"26","H",4,"D3276"
"31","B",5,"D3277"
"37","C",5,"D3278"
"35","D",5,"D3279"
"33","E",5,"D3280"
"34","F",5,"D3281"
"36","G",5,"D3282"
"32","H",5,"D3283"
"42","A",6,"D3284"
"38","B",6,"D3285"
"39","C",6,"D3286"
"43","D",6,"D3287"
"44","E",6,"D3288"
"45","F",6,"D3289"
"41","G",6,"D3290"
"40","H",6,"D3291"
"46","A",7,"D3292"
"47","B",7,"D3293"
"48","C",7,"D3294"
"49","D",7,"D3295"
"50","E",7,"D3296"
"51","F",7,"D3297"
"52","G",7,"D3298"
"53","H",7,"D3299"
"55","A",8,"D3300"
"56","B",8,"D3301"
"57","C",8,"D3302"
"54","D",8,"D3303"
"58","E",8,"D3304"
"59","F",8,"D3305"
"60","G",8,"D3306"
"61","H",8,"D3307"
"62","A",9,"D3308"
"63","B",9,"D3309"
"64","C",9,"D3310"
"65","D",9,"D3311"
"66","E",9,"D3312"
"67","F",9,"D3313"
"68","G",9,"D3314"
"69","H",9,"D3315"
"70","A",10,"D3316"
"71","B",10,"D3317"
"72","C",10,"D3318"
"73","D",10,"D3319"
"74","E",10,"D3320"
"75","F",10,"D3321"
"76","G",10,"D3322"
"77","H",10,"D3323"
"78","A",11,"D3324"
"79","B",11,"D3325"
"80","C",11,"D3326"
"81","D",11,"D3327"
"82","E",11,"D3328"
"83","F",11,"D3329"
"84","G",11,"D3330"
"85","H",11,"D3331"
"86","A",12,"D3332"
"87","B",12,"D3333"
"88","C",12,"D3334"
"89","D",12,"D3335"
"90","E",12,"D3336"
"91","F",12,"D3337"
"92","G",12,"D3338"
"93","H",12,"D3339"
