"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","D3000","D3008","D3016","D3024","D3032","D3040","D3048","D3056","D3064","D3072","D3080","D3088"
"B","D3001","D3009","D3017","D3025","D3033","D3041","D3049","D3057","D3065","D3073","D3081","D3089"
"C","D3002","D3010","D3018","D3026","D3034","D3042","D3050","D3058","D3066","D3074","D3082","D3090"
"D","D3003","D3011","D3019","D3027","D3035","D3043","D3051","D3059","D3067","D3075","D3083","D3091"
"E","D3004","D3012","D3020","D3028","D3036","D3044","D3052","D3060","D3068","D3076","D3084","D3092"
"F","D3005","D3013","D3021","D3029","D3037","D3045","D3053","D3061","D3069","D3077","D3085","D3093"
"G","D3006","D3014","D3022","D3030","D3038","D3046","D3054","D3062","D3070","D3078","D3086","D3094"
"H","D3007","D3015","D3023","D3031","D3039","D3047","D3055","D3063","D3071","D3079","D3087","D3095"
