"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","APCL16_095","APCL16_103","APCL16_110","APCL16_118","APCL16_126","APCL16_134","APCL16_142","APCL16_150","APCL16_157","APCL16_165","APCL16_173","APCL16_181"
"B","APCL16_096","APCL16_104","APCL16_111","APCL16_119","APCL16_127","APCL16_135","APCL16_143","APCL16_151","APCL16_158","APCL16_166","APCL16_174","APCL16_182"
"C","APCL16_097","APCL16_105","APCL16_112","APCL16_120","APCL16_128","APCL16_136","APCL16_144","APCL16_152","APCL16_159","APCL16_167","APCL16_175","APCL16_183"
"D","APCL16_098","XXXX","APCL16_113","APCL16_121","APCL16_129","APCL16_137","APCL16_145","APCL16_153","APCL16_160","APCL16_168","APCL16_176","APCL16_184"
"E","APCL16_099","APCL16_106","APCL16_114","APCL16_122","APCL16_130","APCL16_138","APCL16_146","XXXX","APCL16_161","APCL16_169","APCL16_177","APCL16_185"
"F","APCL16_100","APCL16_107","APCL16_115","APCL16_123","APCL16_131","APCL16_139","APCL16_147","APCL16_154","APCL16_162","APCL16_170","APCL16_178","APCL16_186"
"G","APCL16_101","APCL16_108","APCL16_116","APCL16_124","APCL16_132","APCL16_140","APCL16_148","APCL16_155","APCL16_163","APCL16_171","APCL16_179","APCL16_187"
"H","APCL16_102","APCL16_109","APCL16_117","APCL16_125","APCL16_133","APCL16_141","APCL16_149","APCL16_156","APCL16_164","APCL16_172","APCL16_180","APCL16_188"
