quant,extraction_ID
29.757,E2968
207.36,E2969
160.62,E2970
164.297,E2971
50.678,E2972
123.805,E2973
96.356,E2974
53.095,E2975
39.61,E3064
107.797,E3065
100.853,E3066
158.137,E3067
68.272,E3068
47.938,E3069
129.199,E3070
35.582,E3071
