"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","E3064","E3072","E3080","E3088","E3096","E3104","E3112","E3120","E3128","E3136","E3144","E3152"
"B","E3065","E3073","E3081","E3089","E3097","E3105","E3113","E3121","E3129","E3137","E3145","E3153"
"C","E3066","E3074","E3082","E3090","E3098","E3106","E3114","E3122","E3130","E3138","E3146","E3154"
"D","E3067","E3075","E3083","E3091","E3099","E3107","E3115","E3123","E3131","E3139","E3147","E3155"
"E","E3068","E3076","E3084","E3092","E3100","E3108","E3116","E3124","E3132","E3140","E3148","E3156"
"F","E3069","E3077","E3085","E3093","E3101","E3109","E3117","E3125","E3133","E3141","E3149","E3157"
"G","E3070","E3078","E3086","E3094","E3102","E3110","E3118","E3126","E3134","E3142","E3150","E3158"
"H","E3071","E3079","E3087","E3095","E3103","E3111","E3119","E3127","E3135","E3143","E3151","E3159"
