"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","E0378","E1095","E1488","E0933","E0228","E1297","E2499","E2448","E2971","E2980","E2988","E2996"
"B","E0474","E1108","E0924","E0950","E0250","E0492","E2521","E2744","E2972","E2981","E2989","E2997"
"C","E0485","E0772","E1218","E0974","E1480","E0516","E2538","E2757","E2973","E2982","E2990","E2998"
"D","E0165","E0922","E0570","E0867","E1388","E1350","E2588","E0792","E2974","E2983","E2991","E2999"
"E","E0167","E0963","E0921","E1483","E0931","E1866","E2617","E2852","E2975","E2984","E2992","E3000"
"F","E0215","E1245","E0923","E1382","E0962","E1867","E2632","E2968","E2976","E2985","E2993","E3001"
"G","E0226","E1478","E0925","E1394","E1397","E1068","E2851","E2969","E2977","E2986","E2994","E3002"
"H","E0328","E1385","E0926","E0968","E0928","E0727","E2931","E2970","E2978","E2987","E2995","E3003"
