"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","D3247","D3253","D3261","D3269",NA,"D3284","D3292","D3300","D3308","D3316","D3324","D3332"
"B","D3248","D3254","D3262","D3270","D3277","D3285","D3293","D3301","D3309","D3317","D3325","D3333"
"C","D3249","D3255","D3263","D3271","D3278","D3286","D3294","D3302","D3310","D3318","D3326","D3334"
"D","D3250","D3256","D3264","D3272","D3279","D3287","D3295","D3303","D3311","D3319","D3327","D3335"
"E","D3251","D3257","D3265","D3273","D3280","D3288","D3296","D3304","D3312","D3320","D3328","D3336"
"F",NA,"D3258","D3266","D3274","D3281","D3289","D3297","D3305","D3313","D3321","D3329","D3337"
"G",NA,"D3259","D3267","D3275","D3282","D3290","D3298","D3306","D3314","D3322","D3330","D3338"
"H","D3252","D3260","D3268","D3276","D3283","D3291","D3299","D3307","D3315","D3323","D3331","D3339"
