"","Row","Col","ID"
"6","A",1,"D3247"
"7","B",1,"D3248"
"8","C",1,"D3249"
"1","D",1,"D3250"
"2","E",1,"D3251"
"3","F",1,"D3252"
"4","G",1,"D3253"
"5","H",1,"D3254"
"12","A",2,"D3255"
"13","B",2,"D3256"
"9","C",2,"D3257"
"10","D",2,"D3258"
"11","E",2,"D3259"
"14","F",2,"D3260"
"16","G",2,"D3261"
"15","H",2,"D3262"
"24","A",3,"D3263"
"20","B",3,"D3264"
"23","C",3,"D3265"
"17","D",3,"D3266"
"18","E",3,"D3267"
"19","F",3,"D3268"
"21","G",3,"D3269"
"22","H",3,"D3270"
"26","A",4,"D3271"
"27","B",4,"D3272"
"29","C",4,"D3273"
"25","D",4,"D3274"
"32","E",4,"D3275"
"30","F",4,"D3276"
"31","G",4,"D3277"
"28","H",4,"D3278"
"33","A",5,"D3279"
"34","B",5,"D3280"
"40","C",5,"D3281"
"38","D",5,"D3282"
"36","E",5,"D3283"
"37","F",5,"D3284"
"39","G",5,"D3285"
"35","H",5,"D3286"
"45","A",6,"D3287"
"41","B",6,"D3288"
"42","C",6,"D3289"
"46","D",6,"D3290"
"47","E",6,"D3291"
"48","F",6,"D3292"
"44","G",6,"D3293"
"43","H",6,"D3294"
"49","A",7,"D3295"
"50","B",7,"D3296"
"51","C",7,"D3297"
"52","D",7,"D3298"
"53","E",7,"D3299"
"54","F",7,"D3300"
"55","G",7,"D3301"
"56","H",7,"D3302"
"58","A",8,"D3303"
"59","B",8,"D3304"
"60","C",8,"D3305"
"57","D",8,"D3306"
"61","E",8,"D3307"
"62","F",8,"D3308"
"63","G",8,"D3309"
"64","H",8,"D3310"
"65","A",9,"D3311"
"66","B",9,"D3312"
"67","C",9,"D3313"
"68","D",9,"D3314"
"69","E",9,"D3315"
"70","F",9,"D3316"
"71","G",9,"D3317"
"72","H",9,"D3318"
"73","A",10,"D3319"
"74","B",10,"D3320"
"75","C",10,"D3321"
"76","D",10,"D3322"
"77","E",10,"D3323"
"78","F",10,"D3324"
"79","G",10,"D3325"
"80","H",10,"D3326"
"81","A",11,"D3327"
"82","B",11,"D3328"
"83","C",11,"D3329"
"84","D",11,"D3330"
"85","E",11,"D3331"
"86","F",11,"D3332"
"87","G",11,"D3333"
"88","H",11,"D3334"
"89","A",12,"D3335"
"90","B",12,"D3336"
"91","C",12,"D3337"
"92","D",12,"D3338"
"93","E",12,"D3339"
"94","F",12,"D3340"
"95","G",12,"D3341"
"96","H",12,"D3342"
