"","number","sample_ID","date","method","final_vol","quant","dna"
"78","E3141","APCL16_170",2016-09-06,"DNeasy 96",200,20.01,4.002
"79","E3142","APCL16_171",2016-09-06,"DNeasy 96",200,80.463,16.0926
"80","E3143","APCL16_172",2016-09-06,"DNeasy 96",200,82.355,16.471
"81","E3144","APCL16_173",2016-09-06,"DNeasy 96",200,135.397,27.0794
"82","E3145","APCL16_174",2016-09-06,"DNeasy 96",200,28.676,5.7352
"83","E3146","APCL16_175",2016-09-06,"DNeasy 96",200,162.641,32.5282
"84","E3147","APCL16_176",2016-09-06,"DNeasy 96",200,184.57,36.914
"85","E3148","APCL16_177",2016-09-06,"DNeasy 96",200,154.713,30.9426
"86","E3149","APCL16_178",2016-09-06,"DNeasy 96",200,203.282,40.6564
"87","E3150","APCL16_179",2016-09-06,"DNeasy 96",200,23.877,4.7754
"88","E3151","APCL16_180",2016-09-06,"DNeasy 96",200,24.387,4.8774
"89","E3152","APCL16_181",2016-09-06,"DNeasy 96",200,21.665,4.333
"90","E3153","APCL16_182",2016-09-06,"DNeasy 96",200,204.799,40.9598
"91","E3154","APCL16_183",2016-09-06,"DNeasy 96",200,82.946,16.5892
"92","E3155","APCL16_184",2016-09-06,"DNeasy 96",200,59.224,11.8448
"93","E3156","APCL16_185",2016-09-06,"DNeasy 96",200,190.346,38.0692
"94","E3157","APCL16_186",2016-09-06,"DNeasy 96",200,83.777,16.7554
"95","E3158","APCL16_187",2016-09-06,"DNeasy 96",200,195.678,39.1356
"96","E3159","APCL16_188",2016-09-06,"DNeasy 96",200,150.047,30.0094
