"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","D3053","D2711","D3074","D2933","D3305","D3038","D3106","D3114","D3029","D3031","D3157","D3116"
"B","D2943","D3264","D3023","D3094","D3128","D2805","D2730","D3202","D3103","D2785","D2931","D3224"
"C","D2942","D3078","D3118","D3143","D3140","D3255","D2924","D3020","D2974","D3276","D2935","D2815"
"D","D2951","D2965","D2979","D2923","D3257","D2953","D2932","D2917","D2997","D3110","D3069","D3082"
"E","D2971","D2982","D2947","D3043","D3267","D3197","D3085","D3213","D3017","D3138","D3158","D3218"
"F","D3290","D3011","D3252","D3292","D2842","D3301","D3115","D2978","D3309","D3098","D2750","D3009"
"G","D2973","D3120","D2960","D3265","D2962","D3268","D3251","D2969","D2925","D3129","D3266","D3104"
"H","D2921","D3146","D2999","D3045","D2778","D3256","D3206","D3289","D2961","D3300","D3281","D2821"
