"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","D2749","D3311","D2833","D2981","D2993","D3262","D3310","D3308","D3261","D3307","D3330","D3259"
"B","D2940","D3145","D2732","D2877","D3156","D3288","D3322","D3297","D3298","D3331","D3282","D3337"
"C","D3312","D2918","D2783","D2948","D2938","D3280","D3317","D3304","D3254","D3327","D3339","D3260"
"D","D3088","D2912","D3084","D2970","D2956","D3283","D3323","D3319","D3321","D3313","D3329","D3328"
"E","D2804","D2757","D3314","D2772","D3302","D2553","D3284","D3318","D3333","D3299","D3278","D3332"
"F","D2758","D2801","D2905","D2928","D3296","D3275","D3272","D3287","D3253","D3306","D3326","D3334"
"G","D3148","D2988","D2888","D2841","D3303","D3263","D3316","D3294","D3273","D3325","D3324","D3293"
"H","D3315","D2803","D3133","D2930","D3335","D3274","D3320","D3295","D3338","D3258","D3336","D3279"
