"","1","2","3","4","5","6","7","8","9","10","11","12"
"A","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"B","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"C","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"D","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"E","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"F","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"G","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
"H","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06","2016-09-06"
